"Previsioni probabilistiche della popolazione residente per sesso, età e regione - base 1.1.2017 - Anni 2017/2065"
"Anno: 2017 - Ripartizione: Italia"
"Maschi"
"Età";"Limite inferiore intervallo di confidenza al 90% (5° percentile)";"Limite inferiore intervallo di confidenza all'80% (10° percentile)";"Limite inferiore intervallo di confidenza al 50% (25° percentile)";"Scenario mediano";"Limite superiore intervallo di confidenza al 50% (75° percentile)";"Limite superiore intervallo di confidenza all'80% (90° percentile)";"Limite superiore intervallo di confidenza al 90% (95° percentile)"
99;6120;6120;6120;6120;6120;6120;6120;
100;4803;4803;4803;4803;4803;4803;4803;
101;4036;4036;4036;4036;4036;4036;4036;
102;2677;2677;2677;2677;2677;2677;2677;
103;1547;1547;1547;1547;1547;1547;1547;
104;792;792;792;792;792;792;792;
105;415;415;415;415;415;415;415;
106;249;249;249;249;249;249;249;
107;109;109;109;109;109;109;109;
108;52;52;52;52;52;52;52;
109;23;23;23;23;23;23;23;
110 e oltre;16;16;16;16;16;16;16;
Totale;31143704;31143704;31143704;31143704;31143704;31143704;31143704;
"Totale"
"Età";"Limite inferiore intervallo di confidenza al 90% (5° percentile)";"Limite inferiore intervallo di confidenza all'80% (10° percentile)";"Limite inferiore intervallo di confidenza al 50% (25° percentile)";"Scenario mediano";"Limite superiore intervallo di confidenza al 50% (75° percentile)";"Limite superiore intervallo di confidenza all'80% (90° percentile)";"Limite superiore intervallo di confidenza al 90% (95° percentile)"
0;467657;467657;467657;467657;467657;467657;467657;
1;485283;485283;485283;485283;485283;485283;485283;
2;502078;502078;502078;502078;502078;502078;502078;
3;511743;511743;511743;511743;511743;511743;511743;
4;534694;534694;534694;534694;534694;534694;534694;
5;545362;545362;545362;545362;545362;545362;545362;
6;560438;560438;560438;560438;560438;560438;560438;
7;569379;569379;569379;569379;569379;569379;569379;
8;575796;575796;575796;575796;575796;575796;575796;
9;573370;573370;573370;573370;573370;573370;573370;
10;573908;573908;573908;573908;573908;573908;573908;
11;570024;570024;570024;570024;570024;570024;570024;
12;575442;575442;575442;575442;575442;575442;575442;
